id,nodes_in_graph,edges_in_graph,total_time,nodes_to_block,simulation_name,mean_activated,var_activated,mean_saved,var_saved,saved_nodes,activated_nodes,ratio
886460_2794274_0,886460,2794274,5.100056409835815,1000,Degree,98931.99,489210833.10090905,42823.95,257781671.15909094,42824,98931.99,0.4328630203435714
886460_2794274_1,886460,2794274,14784.03767991066,1000,Dom,57550.43,1255472424.308182,84841.64,1601345990.1923232,84842,57550.43,1.4742200883642398
886460_2794274_2,886460,2794274,0.21605372428894043,1000,Random,143685.56,741856616.0872729,413.95,17420.371212121212,414,143685.56,0.0028812916203966497
886460_2794274_3,886460,2794274,31.751035690307617,1000,SparseShield,1.0,0.0,138323.71,1058658495.339293,138324,1.0,138324.0
886460_2794274_4,886460,2794274,5.119246959686279,10,Degree,140535.23,797661760.3607072,2275.77,2711117.572828283,2276,140535.23,0.016195227346196394
886460_2794274_5,886460,2794274,228.37397956848145,10,Dom,135021.01,1018546362.5150504,10084.82,306515915.19959587,10085,135021.01,0.07469207940304994
886460_2794274_6,886460,2794274,0.22305035591125488,10,Random,141438.84,987575967.8327272,0.92,0.8420202020202021,1,141438.84,7.070193731792484e-06
886460_2794274_7,886460,2794274,34.63481831550598,10,SparseShield,1.0,0.0,136190.86,1193608198.9094946,136191,1.0,136191.0
886460_2794274_8,886460,2794274,4.928111553192139,1100,Degree,93447.95,541707848.5328281,43049.19,248076804.86252528,43050,93447.95,0.460684263271693
886460_2794274_9,886460,2794274,18769.167060375214,1100,Dom,60786.97,1331813518.3526263,83358.97,1418488217.1809094,83359,60786.97,1.3713300728758153
886460_2794274_10,886460,2794274,0.20604753494262695,1100,Random,142291.48,857230488.7369696,226.95,10186.270202020201,227,142291.48,0.001595316880532833
886460_2794274_11,886460,2794274,29.452883005142212,1100,SparseShield,1.0,0.0,138153.92,1044458900.478384,138154,1.0,138154.0
886460_2794274_12,886460,2794274,5.6058478355407715,120,Degree,116021.64,1134466856.172121,15891.27,173401713.0879798,15892,116021.64,0.1369744471807156
886460_2794274_13,886460,2794274,2135.068330526352,120,Dom,109118.16,1450282408.3983839,34224.66,934178189.8428283,34225,109118.16,0.3136508166926568
886460_2794274_14,886460,2794274,0.2500579357147217,120,Random,135398.21,1257520874.8342426,23.97,84.53444444444445,24,135398.21,0.00017725492825939132
886460_2794274_15,886460,2794274,30.049286365509033,120,SparseShield,1.0,0.0,139645.94,960329929.0468687,139646,1.0,139646.0
886460_2794274_16,886460,2794274,6.371082067489624,20,Degree,135387.61,694120891.6948484,8146.56,13559568.107474746,8147,135387.61,0.060175373507221235
886460_2794274_17,886460,2794274,426.71184849739075,20,Dom,128393.34,1042719085.4791919,11551.01,95417681.10090908,11552,128393.34,0.08997351420252796
886460_2794274_18,886460,2794274,0.28011631965637207,20,Random,143901.38,804952265.7935354,3.29,0.4504040404040404,4,143901.38,2.7796814735202677e-05
886460_2794274_19,886460,2794274,31.7022967338562,20,SparseShield,1.0,0.0,141255.27,935168532.0980809,141256,1.0,141256.0
886460_2794274_20,886460,2794274,4.98255729675293,220,Degree,119514.01,884451272.0504041,18585.58,93625912.26626264,18586,119514.01,0.15551314862583893
886460_2794274_21,886460,2794274,3526.5983650684357,220,Dom,100021.43,1387630608.2475755,40870.06,875198446.6024243,40871,100021.43,0.40862243221277683
886460_2794274_22,886460,2794274,0.2100510597229004,220,Random,142340.79,873987484.1271716,76.6,3519.2727272727275,77,142340.79,0.000540955266582404
886460_2794274_23,886460,2794274,28.19929027557373,220,SparseShield,1.0,0.0,140430.19,1038566438.9635353,140431,1.0,140431.0
886460_2794274_24,886460,2794274,4.990180730819702,320,Degree,117213.31,588098676.7615151,28199.43,228760730.40919194,28200,117213.31,0.2405870118333831
886460_2794274_25,886460,2794274,4874.8501932621,320,Dom,87495.61,1607955657.8160608,50913.09,1288212917.2140405,50914,87495.61,0.5819034806432003
886460_2794274_26,886460,2794274,0.20806622505187988,320,Random,138822.9,1115768835.2626262,70.97,496.2314141414142,71,138822.9,0.000511442996796638
886460_2794274_27,886460,2794274,28.470651865005493,320,SparseShield,1.0,0.0,144072.77,790337854.9061617,144073,1.0,144073.0
886460_2794274_28,886460,2794274,5.192171573638916,400,Degree,112738.22,655223574.1329293,26972.17,104453687.07181819,26973,112738.22,0.23925337831305124
886460_2794274_29,886460,2794274,6650.107914924622,400,Dom,76054.94,1612001394.1579792,64720.57,1580356070.49,64721,76054.94,0.8509769385131327
886460_2794274_30,886460,2794274,0.22509169578552246,400,Random,139797.27,1034597722.4011111,123.84,2389.9741414141413,124,139797.27,0.0008869987232225637
886460_2794274_31,886460,2794274,30.396417379379272,400,SparseShield,1.0,0.0,143289.33,737111872.4859594,143290,1.0,143290.0
886460_2794274_32,886460,2794274,4.996129035949707,500,Degree,108674.75,753404653.5429293,30929.6,282983280.2222222,30930,108674.75,0.28461073064350273
886460_2794274_33,886460,2794274,8292.653052330017,500,Dom,67480.94,1394136543.4913132,75274.63,1618964904.4374747,75275,67480.94,1.1155001693811615
886460_2794274_34,886460,2794274,0.22004914283752441,500,Random,137955.27,1252062168.0374746,150.3,13129.141414141413,151,137955.27,0.0010945576780067917
886460_2794274_35,886460,2794274,29.872429370880127,500,SparseShield,1.0,0.0,143191.34,832026553.0953536,143192,1.0,143192.0
886460_2794274_36,886460,2794274,5.2758424282073975,610,Degree,106164.9,604297184.3535354,32062.23,95360289.73444444,32063,106164.9,0.3020113050546838
886460_2794274_37,886460,2794274,11175.029272556305,610,Dom,63958.56,1316366365.198384,77909.6,1596905350.7676768,77910,63958.56,1.218132490787785
886460_2794274_38,886460,2794274,0.2270512580871582,610,Random,146085.95,634574320.9570708,144.59,1182.9312121212122,145,146085.95,0.0009925663624735985
886460_2794274_39,886460,2794274,28.762866258621216,610,SparseShield,1.0,0.0,140767.14,988254654.0610102,140768,1.0,140768.0
886460_2794274_40,886460,2794274,4.949634552001953,710,Degree,101404.53,685400964.8778788,41239.26,465888333.0630303,41240,101404.53,0.4066879457949265
886460_2794274_41,886460,2794274,10514.537400722504,710,Dom,66510.76,1441819612.2852523,75128.03,1575423009.5849495,75129,66510.76,1.1295766279020116
886460_2794274_42,886460,2794274,0.2100529670715332,710,Random,137112.85,1112677014.169192,199.9,7159.9696969697,200,137112.85,0.0014586524895369034
