simulation_index,mean_activated,var_activated,mean_saved,var_saved,saved_nodes,activated_nodes
886460_2794274_0,96949.518,572618873.0867628,43691.375,96949.518,43692,96950
886460_2794274_1,57082.787,1237629691.9936244,83558.106,57082.787,83559,57083
886460_2794274_10,140380.144,958883531.0823463,260.749,140380.144,261,140381
886460_2794274_11,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_12,123550.435,827465175.241016,17090.458,123550.435,17091,123551
886460_2794274_13,108328.318,1459055236.175051,32312.575,108328.318,32313,108329
886460_2794274_14,140616.146,962725536.6653495,24.747,140616.146,25,140617
886460_2794274_15,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_16,131250.831,880718284.0384774,9390.062,131250.831,9391,131251
886460_2794274_17,128322.588,997522359.8240801,12318.305,128322.588,12319,128323
886460_2794274_18,140637.654,963068920.2585424,3.239,140637.654,4,140638
886460_2794274_19,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_2,140221.915,955711379.3170921,418.978,140221.915,419,140222
886460_2794274_20,120796.35,804115754.1556556,19844.543,120796.35,19845,120797
886460_2794274_21,97637.026,1430349129.576901,43003.867,97637.026,43004,97638
886460_2794274_22,140572.332,961976197.7515277,68.561,140572.332,69,140573
886460_2794274_23,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_24,114874.567,687885844.8703814,25766.326,114874.567,25767,114875
886460_2794274_25,93866.553,1441185194.3175085,46774.34,93866.553,46775,93867
886460_2794274_26,140566.027,961942046.8671381,74.866,140566.027,75,140567
886460_2794274_27,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_28,113158.757,665398434.2682192,27482.136,113158.757,27483,113159
886460_2794274_29,80474.008,1570113471.4193554,60166.885,80474.008,60167,80475
886460_2794274_3,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_30,140517.981,960747517.8464855,122.912,140517.981,123,140518
886460_2794274_31,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_32,110668.213,625682329.8654965,29972.68,110668.213,29973,110669
886460_2794274_33,65278.891,1354050548.4295487,75362.002,65278.891,75363,65279
886460_2794274_34,140502.743,961632331.9549059,138.15,140502.743,139,140503
886460_2794274_35,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_36,107199.114,593030287.7627667,33441.779,107199.114,33442,107200
886460_2794274_37,63999.86,1381896563.1515515,76641.033,63999.86,76642,64000
886460_2794274_38,140500.835,961090408.272047,140.058,140500.835,141,140501
886460_2794274_39,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_4,138453.039,925796814.2016808,2187.854,138453.039,2188,138454
886460_2794274_40,102850.743,620968273.114065,37790.15,102850.743,37791,102851
886460_2794274_41,63282.284,1361830270.8081522,77358.609,63282.284,77359,63283
886460_2794274_42,140435.576,960032301.4556795,205.317,140435.576,206,140436
886460_2794274_43,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_44,101540.853,603624978.3717628,39100.04,101540.853,39101,101541
886460_2794274_45,59392.439,1261775524.8631425,81248.454,59392.439,81249,59393
886460_2794274_46,140366.45,959566304.6721721,274.443,140366.45,275,140367
886460_2794274_47,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_48,99018.576,586367502.7449689,41622.317,99018.576,41623,99019
886460_2794274_49,58394.397,1245946213.7291203,82246.496,58394.397,82247,58395
886460_2794274_5,132691.777,1077523625.2264974,7949.116,132691.777,7950,132692
886460_2794274_50,140361.04,959331846.9633634,279.853,140361.04,280,140362
886460_2794274_51,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_6,140640.094,963058836.1032673,0.799,140640.094,1,140641
886460_2794274_7,1.0,0.0,140639.893,1.0,140640,1
886460_2794274_8,93043.075,558409794.2896646,47597.818,93043.075,47598,93044
886460_2794274_9,56476.624,1243234388.6432674,84164.269,56476.624,84165,56477
47154_633217_0,1.0,0.0,10888.855,1.0,10889,1
